Unidade,Grupo,Procedimentos Padronizados,Quantidade
MOOCA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,8.0
MOOCA,ULTRAFORMER_III,ULTRAFORMER OLHOS,27.0
MOOCA,ULTRAFORMER_III,ULTRAFORMER PAPADA,80.0
MOOCA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,14.0
OSASCO,ESTÉTICA,CARBOXITERAPIA,190.0
OSASCO,ESTÉTICA,CRIOLIPÓLISE,111.0
OSASCO,ESTÉTICA,DRENAGEM,708.0
OSASCO,ESTÉTICA,DRENAGEM 30 MIN,67.0
OSASCO,ESTÉTICA,HECCUS,149.0
OSASCO,ESTÉTICA,LIMPEZA DE PELE,1214.0
OSASCO,ESTÉTICA,PEELING DE DIAMANTE,9.0
OSASCO,ESTÉTICA,PRÓ- SHAPE,34.0
OSASCO,ESTÉTICA,PRÓ-SHAPE,31.0
OSASCO,ESTÉTICA,RADIOFREQUÊNCIA,93.0
OSASCO,LAVIEEN,LAVIEEN,384.0
OSASCO,LAVIEEN,PRÓ-SÉRUM,227.0
OSASCO,MEDICINA ESTÉTICA,BOTOX LIGHT,15.0
OSASCO,MEDICINA ESTÉTICA,BOTOX POWER,199.0
OSASCO,MEDICINA ESTÉTICA,DERMAROLLER,26.0
OSASCO,MEDICINA ESTÉTICA,ENZIMA MELASMA,5.0
OSASCO,MEDICINA ESTÉTICA,GLÚTEO MAX,25.0
OSASCO,MEDICINA ESTÉTICA,PEELING QUÍMICO,112.0
OSASCO,MEDICINA ESTÉTICA,PREENCHIMENTO,227.0
OSASCO,MEDICINA ESTÉTICA,PRÓ-BELLA,3.0
OSASCO,MEDICINA ESTÉTICA,PRÓ-LIPO,170.0
OSASCO,MEDICINA ESTÉTICA,PRÓ-MESO,8.0
OSASCO,MEDICINA ESTÉTICA,RADIESSE,14.0
OSASCO,MEDICINA ESTÉTICA,SCULPTRA,81.0
OSASCO,MEDICINA ESTÉTICA,SECAGEM,97.0
OSASCO,ULTRAFORMER_III,ULTRAFORMER FULLFACE,63.0
OSASCO,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,6.0
OSASCO,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,7.0
OSASCO,ULTRAFORMER_III,ULTRAFORMER OLHOS,41.0
OSASCO,ULTRAFORMER_III,ULTRAFORMER PAPADA,60.0
OSASCO,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,2.0
RIBEIRÃO PRETO,ESTÉTICA,CARBOXITERAPIA,48.0
RIBEIRÃO PRETO,ESTÉTICA,CRIOLIPÓLISE,29.0
RIBEIRÃO PRETO,ESTÉTICA,DRENAGEM,203.0
RIBEIRÃO PRETO,ESTÉTICA,DRENAGEM 30 MIN,1.0
RIBEIRÃO PRETO,ESTÉTICA,HECCUS,55.0
RIBEIRÃO PRETO,ESTÉTICA,LIMPEZA DE PELE,261.0
RIBEIRÃO PRETO,ESTÉTICA,PEELING DE DIAMANTE,19.0
RIBEIRÃO PRETO,ESTÉTICA,PRÓ-SHAPE,45.0
RIBEIRÃO PRETO,ESTÉTICA,RADIOFREQUÊNCIA,32.0
RIBEIRÃO PRETO,LAVIEEN,LAVIEEN,188.0
RIBEIRÃO PRETO,LAVIEEN,PRÓ-SÉRUM,85.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,BOTOX LIGHT,3.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,BOTOX POWER,92.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,CO2 ROSTO,3.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,GLÚTEO MAX,5.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,PEELING QUÍMICO,1.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,PREENCHIMENTO,99.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,PRÓ-BELLA,47.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,PRÓ-LIPO,132.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,PRÓ-MESO,16.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,RADIESSE,26.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,SCULPTRA,60.0
RIBEIRÃO PRETO,MEDICINA ESTÉTICA,SECAGEM,45.0
RIBEIRÃO PRETO,ULTRAFORMER_III,ULTRAFORMER BRAÇO,4.0
RIBEIRÃO PRETO,ULTRAFORMER_III,ULTRAFORMER FULLFACE,56.0
RIBEIRÃO PRETO,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,1.0
RIBEIRÃO PRETO,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,1.0
RIBEIRÃO PRETO,ULTRAFORMER_III,ULTRAFORMER OLHOS,9.0
RIBEIRÃO PRETO,ULTRAFORMER_III,ULTRAFORMER PAPADA,34.0
RIBEIRÃO PRETO,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,13.0
SANTO AMARO,ESTÉTICA,CARBOXITERAPIA,288.0
SANTO AMARO,ESTÉTICA,CRIOLIPÓLISE,215.0
SANTO AMARO,ESTÉTICA,DRENAGEM,672.0
SANTO AMARO,ESTÉTICA,DRENAGEM 30 MIN,84.0
SANTO AMARO,ESTÉTICA,HECCUS,352.0
SANTO AMARO,ESTÉTICA,HIDRATAÇÃO,9.0
SANTO AMARO,ESTÉTICA,LIMPEZA DE PELE,1370.0
SANTO AMARO,ESTÉTICA,PEELING DE DIAMANTE,9.0
SANTO AMARO,ESTÉTICA,PRÓ- SHAPE,66.0
SANTO AMARO,ESTÉTICA,PRÓ-SHAPE,75.0
SANTO AMARO,ESTÉTICA,RADIOFREQUÊNCIA,164.0
SANTO AMARO,LAVIEEN,LAVIEEN,557.0
SANTO AMARO,LAVIEEN,PRÓ-SÉRUM,274.0
SANTO AMARO,MEDICINA ESTÉTICA,BOTOX LIGHT,73.0
SANTO AMARO,MEDICINA ESTÉTICA,BOTOX POWER,390.0
SANTO AMARO,MEDICINA ESTÉTICA,CO2 COLO,2.0
SANTO AMARO,MEDICINA ESTÉTICA,CO2 MÃOS,3.0
SANTO AMARO,MEDICINA ESTÉTICA,CO2 OLHEIRAS,1.0
SANTO AMARO,MEDICINA ESTÉTICA,CO2 ROSTO,8.0
SANTO AMARO,MEDICINA ESTÉTICA,DERMAROLLER,154.0
SANTO AMARO,MEDICINA ESTÉTICA,ENZIMA MELASMA,81.0
SANTO AMARO,MEDICINA ESTÉTICA,GLÚTEO MAX,25.0
SANTO AMARO,MEDICINA ESTÉTICA,PEELING QUÍMICO,384.0
SANTO AMARO,MEDICINA ESTÉTICA,PREENCHIMENTO,492.0
SANTO AMARO,MEDICINA ESTÉTICA,PRÓ-BELLA,21.0
SANTO AMARO,MEDICINA ESTÉTICA,PRÓ-LIPO,295.0
SANTO AMARO,MEDICINA ESTÉTICA,PRÓ-MESO,126.0
SANTO AMARO,MEDICINA ESTÉTICA,RADIESSE,59.0
SANTO AMARO,MEDICINA ESTÉTICA,SCULPTRA,176.0
SANTO AMARO,MEDICINA ESTÉTICA,SECAGEM,105.0
SANTO AMARO,MEDICINA ESTÉTICA,UP BUMBUM,2.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER BRAÇO,3.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER FULLFACE,123.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,6.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,2.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,1.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,29.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER OLHOS,67.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER PAPADA,151.0
SANTO AMARO,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,37.0
SANTOS,ESTÉTICA,CARBOXITERAPIA,398.0
SANTOS,ESTÉTICA,CRIOLIPÓLISE,270.0
SANTOS,ESTÉTICA,DRENAGEM,1128.0
SANTOS,ESTÉTICA,DRENAGEM 30 MIN,60.0
SANTOS,ESTÉTICA,HECCUS,231.0
SANTOS,ESTÉTICA,HIDRATAÇÃO,2.0
SANTOS,ESTÉTICA,LIMPEZA DE PELE,731.0
SANTOS,ESTÉTICA,PEELING DE DIAMANTE,35.0
SANTOS,ESTÉTICA,PRÓ- SHAPE,31.0
SANTOS,ESTÉTICA,PRÓ-SHAPE,140.0
SANTOS,ESTÉTICA,RADIOFREQUÊNCIA,272.0
SANTOS,LAVIEEN,LAVIEEN,478.0
SANTOS,LAVIEEN,PRÓ-SÉRUM,75.0
SANTOS,MEDICINA ESTÉTICA,BOTOX LIGHT,48.0
SANTOS,MEDICINA ESTÉTICA,BOTOX POWER,454.0
SANTOS,MEDICINA ESTÉTICA,DERMAROLLER,31.0
SANTOS,MEDICINA ESTÉTICA,GLÚTEO MAX,20.0
SANTOS,MEDICINA ESTÉTICA,PEELING QUÍMICO,95.0
SANTOS,MEDICINA ESTÉTICA,PREENCHIMENTO,463.0
SANTOS,MEDICINA ESTÉTICA,PRÓ-BELLA,7.0
SANTOS,MEDICINA ESTÉTICA,PRÓ-LIPO,223.0
SANTOS,MEDICINA ESTÉTICA,PRÓ-MESO,44.0
SANTOS,MEDICINA ESTÉTICA,RADIESSE,39.0
SANTOS,MEDICINA ESTÉTICA,SCULPTRA,107.0
SANTOS,MEDICINA ESTÉTICA,SECAGEM,88.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER BRAÇO,3.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER FULLFACE,120.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,3.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,3.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,3.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER OLHOS,28.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER PAPADA,95.0
SANTOS,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,23.0
SOROCABA,ESTÉTICA,CARBOXITERAPIA,133.0
SOROCABA,ESTÉTICA,CRIOLIPÓLISE,68.0
SOROCABA,ESTÉTICA,DRENAGEM,368.0
SOROCABA,ESTÉTICA,DRENAGEM 30 MIN,36.0
SOROCABA,ESTÉTICA,HECCUS,111.0
SOROCABA,ESTÉTICA,LIMPEZA DE PELE,676.0
SOROCABA,ESTÉTICA,PEELING DE DIAMANTE,3.0
SOROCABA,ESTÉTICA,PRÓ- SHAPE,60.0
SOROCABA,ESTÉTICA,PRÓ-SHAPE,85.0
SOROCABA,ESTÉTICA,RADIOFREQUÊNCIA,56.0
SOROCABA,LAVIEEN,LAVIEEN,331.0
SOROCABA,LAVIEEN,PRÓ-SÉRUM,56.0
SOROCABA,MEDICINA ESTÉTICA,BOTOX LIGHT,31.0
SOROCABA,MEDICINA ESTÉTICA,BOTOX POWER,225.0
SOROCABA,MEDICINA ESTÉTICA,DERMAROLLER,8.0
SOROCABA,MEDICINA ESTÉTICA,ENZIMA MELASMA,19.0
SOROCABA,MEDICINA ESTÉTICA,GLÚTEO MAX,22.0
SOROCABA,MEDICINA ESTÉTICA,PEELING QUÍMICO,55.0
SOROCABA,MEDICINA ESTÉTICA,PREENCHIMENTO,127.0
SOROCABA,MEDICINA ESTÉTICA,PRÓ-BELLA,7.0
SOROCABA,MEDICINA ESTÉTICA,PRÓ-LIPO,133.0
SOROCABA,MEDICINA ESTÉTICA,PRÓ-MESO,22.0
SOROCABA,MEDICINA ESTÉTICA,RADIESSE,27.0
SOROCABA,MEDICINA ESTÉTICA,SCULPTRA,91.0
SOROCABA,MEDICINA ESTÉTICA,SECAGEM,52.0
SOROCABA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,113.0
SOROCABA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,16.0
SOROCABA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,1.0
SOROCABA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,16.0
SOROCABA,ULTRAFORMER_III,ULTRAFORMER OLHOS,27.0
SOROCABA,ULTRAFORMER_III,ULTRAFORMER PAPADA,57.0
SOROCABA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,8.0
SÃO BERNARDO,ESTÉTICA,CARBOXITERAPIA,31.0
SÃO BERNARDO,ESTÉTICA,CRIOLIPÓLISE,7.0
SÃO BERNARDO,ESTÉTICA,DRENAGEM,78.0
SÃO BERNARDO,ESTÉTICA,DRENAGEM 30 MIN,20.0
SÃO BERNARDO,ESTÉTICA,HECCUS,69.0
SÃO BERNARDO,ESTÉTICA,HIDRATAÇÃO,1.0
SÃO BERNARDO,ESTÉTICA,LIMPEZA DE PELE,82.0
SÃO BERNARDO,ESTÉTICA,PRÓ- SHAPE,25.0
SÃO BERNARDO,ESTÉTICA,PRÓ-SHAPE,10.0
SÃO BERNARDO,ESTÉTICA,RADIOFREQUÊNCIA,14.0
SÃO BERNARDO,LAVIEEN,LAVIEEN,44.0
SÃO BERNARDO,LAVIEEN,PRÓ-SÉRUM,17.0
SÃO BERNARDO,MEDICINA ESTÉTICA,BOTOX POWER,19.0
SÃO BERNARDO,MEDICINA ESTÉTICA,DERMAROLLER,2.0
SÃO BERNARDO,MEDICINA ESTÉTICA,GLÚTEO MAX,5.0
SÃO BERNARDO,MEDICINA ESTÉTICA,PEELING QUÍMICO,7.0
SÃO BERNARDO,MEDICINA ESTÉTICA,PREENCHIMENTO,25.0
SÃO BERNARDO,MEDICINA ESTÉTICA,PRÓ-LIPO,48.0
SÃO BERNARDO,MEDICINA ESTÉTICA,PRÓ-MESO,10.0
SÃO BERNARDO,MEDICINA ESTÉTICA,SCULPTRA,7.0
SÃO BERNARDO,MEDICINA ESTÉTICA,SECAGEM,9.0
SÃO BERNARDO,MEDICINA ESTÉTICA,UP BUMBUM,1.0
SÃO BERNARDO,ULTRAFORMER_III,ULTRAFORMER FULLFACE,6.0
SÃO BERNARDO,ULTRAFORMER_III,ULTRAFORMER OLHOS,2.0
SÃO BERNARDO,ULTRAFORMER_III,ULTRAFORMER PAPADA,5.0
SÃO BERNARDO,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,2.0
TATUAPÉ,ESTÉTICA,CARBOXITERAPIA,464.0
TATUAPÉ,ESTÉTICA,CRIOLIPÓLISE,185.0
TATUAPÉ,ESTÉTICA,DRENAGEM,915.0
TATUAPÉ,ESTÉTICA,DRENAGEM 30 MIN,143.0
TATUAPÉ,ESTÉTICA,HECCUS,354.0
TATUAPÉ,ESTÉTICA,HIDRATAÇÃO,7.0
TATUAPÉ,ESTÉTICA,LIMPEZA DE PELE,1308.0
TATUAPÉ,ESTÉTICA,PEELING DE DIAMANTE,20.0
TATUAPÉ,ESTÉTICA,PRÓ- SHAPE,64.0
TATUAPÉ,ESTÉTICA,PRÓ-SHAPE,51.0
TATUAPÉ,ESTÉTICA,RADIOFREQUÊNCIA,138.0
TATUAPÉ,LAVIEEN,LAVIEEN,720.0
TATUAPÉ,LAVIEEN,PRÓ-SÉRUM,192.0
TATUAPÉ,MEDICINA ESTÉTICA,BOTOX LIGHT,99.0
TATUAPÉ,MEDICINA ESTÉTICA,BOTOX POWER,512.0
TATUAPÉ,MEDICINA ESTÉTICA,CO2 CICATRIZ,3.0
TATUAPÉ,MEDICINA ESTÉTICA,CO2 ROSTO,3.0
TATUAPÉ,MEDICINA ESTÉTICA,DERMAROLLER,71.0
TATUAPÉ,MEDICINA ESTÉTICA,ENZIMA MELASMA,8.0
TATUAPÉ,MEDICINA ESTÉTICA,GLÚTEO MAX,41.0
TATUAPÉ,MEDICINA ESTÉTICA,PEELING QUÍMICO,275.0
TATUAPÉ,MEDICINA ESTÉTICA,PREENCHIMENTO,582.0
TATUAPÉ,MEDICINA ESTÉTICA,PRÓ-BELLA,45.0
TATUAPÉ,MEDICINA ESTÉTICA,PRÓ-CELL,1.0
TATUAPÉ,MEDICINA ESTÉTICA,PRÓ-LIPO,319.0
TATUAPÉ,MEDICINA ESTÉTICA,PRÓ-MESO,62.0
TATUAPÉ,MEDICINA ESTÉTICA,RADIESSE,60.0
TATUAPÉ,MEDICINA ESTÉTICA,SCULPTRA,207.0
TATUAPÉ,MEDICINA ESTÉTICA,SECAGEM,79.0
TATUAPÉ,ULTRAFORMER_III,ULTRAFORMER BRAÇO,1.0
TATUAPÉ,ULTRAFORMER_III,ULTRAFORMER FULLFACE,168.0
TATUAPÉ,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,29.0
TATUAPÉ,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,42.0
TATUAPÉ,ULTRAFORMER_III,ULTRAFORMER OLHOS,66.0
TATUAPÉ,ULTRAFORMER_III,ULTRAFORMER PAPADA,196.0
TATUAPÉ,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,39.0
TIJUCA,ESTÉTICA,CARBOXITERAPIA,265.0
TIJUCA,ESTÉTICA,CRIOLIPÓLISE,206.0
TIJUCA,ESTÉTICA,DRENAGEM,2121.0
TIJUCA,ESTÉTICA,DRENAGEM 30 MIN,182.0
TIJUCA,ESTÉTICA,HECCUS,185.0
TIJUCA,ESTÉTICA,HIDRATAÇÃO,4.0
TIJUCA,ESTÉTICA,LIMPEZA DE PELE,1231.0
TIJUCA,ESTÉTICA,PEELING DE DIAMANTE,16.0
TIJUCA,ESTÉTICA,PRÓ- SHAPE,134.0
TIJUCA,ESTÉTICA,PRÓ-SHAPE,218.0
TIJUCA,ESTÉTICA,RADIOFREQUÊNCIA,349.0
TIJUCA,LAVIEEN,LAVIEEN,479.0
TIJUCA,LAVIEEN,PRÓ-SÉRUM,119.0
TIJUCA,MEDICINA ESTÉTICA,BOTOX LIGHT,17.0
TIJUCA,MEDICINA ESTÉTICA,BOTOX POWER,376.0
TIJUCA,MEDICINA ESTÉTICA,CO2 CICATRIZ,14.0
TIJUCA,MEDICINA ESTÉTICA,CO2 COLO,4.0
TIJUCA,MEDICINA ESTÉTICA,CO2 MÃOS,1.0
TIJUCA,MEDICINA ESTÉTICA,CO2 ROSTO,17.0
TIJUCA,MEDICINA ESTÉTICA,DERMAROLLER,67.0
TIJUCA,MEDICINA ESTÉTICA,ENZIMA MELASMA,5.0
TIJUCA,MEDICINA ESTÉTICA,GLÚTEO MAX,27.0
TIJUCA,MEDICINA ESTÉTICA,PEELING QUÍMICO,204.0
TIJUCA,MEDICINA ESTÉTICA,PREENCHIMENTO,309.0
TIJUCA,MEDICINA ESTÉTICA,PRÓ-BELLA,52.0
TIJUCA,MEDICINA ESTÉTICA,PRÓ-LIPO,519.0
TIJUCA,MEDICINA ESTÉTICA,PRÓ-MESO,75.0
TIJUCA,MEDICINA ESTÉTICA,RADIESSE,61.0
TIJUCA,MEDICINA ESTÉTICA,SCULPTRA,151.0
TIJUCA,MEDICINA ESTÉTICA,SECAGEM,56.0
TIJUCA,MEDICINA ESTÉTICA,UP BUMBUM,1.0
TIJUCA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,148.0
TIJUCA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,20.0
TIJUCA,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,2.0
TIJUCA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,7.0
TIJUCA,ULTRAFORMER_III,ULTRAFORMER OLHOS,5.0
TIJUCA,ULTRAFORMER_III,ULTRAFORMER PAPADA,95.0
TIJUCA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,24.0
TUCURUVI,ESTÉTICA,CARBOXITERAPIA,154.0
TUCURUVI,ESTÉTICA,CRIOLIPÓLISE,102.0
TUCURUVI,ESTÉTICA,DRENAGEM,453.0
TUCURUVI,ESTÉTICA,DRENAGEM 30 MIN,30.0
TUCURUVI,ESTÉTICA,HECCUS,242.0
TUCURUVI,ESTÉTICA,LIMPEZA DE PELE,528.0
TUCURUVI,ESTÉTICA,PEELING DE DIAMANTE,2.0
TUCURUVI,ESTÉTICA,PRÓ- SHAPE,144.0
TUCURUVI,ESTÉTICA,RADIOFREQUÊNCIA,139.0
TUCURUVI,LAVIEEN,LAVIEEN,410.0
TUCURUVI,LAVIEEN,PRÓ-SÉRUM,40.0
TUCURUVI,MEDICINA ESTÉTICA,BOTOX LIGHT,45.0
TUCURUVI,MEDICINA ESTÉTICA,BOTOX POWER,290.0
TUCURUVI,MEDICINA ESTÉTICA,CO2 ROSTO,4.0
TUCURUVI,MEDICINA ESTÉTICA,DERMAROLLER,20.0
TUCURUVI,MEDICINA ESTÉTICA,GLÚTEO MAX,36.0
TUCURUVI,MEDICINA ESTÉTICA,PEELING QUÍMICO,51.0
TUCURUVI,MEDICINA ESTÉTICA,PREENCHIMENTO,310.0
TUCURUVI,MEDICINA ESTÉTICA,PRÓ-BELLA,33.0
TUCURUVI,MEDICINA ESTÉTICA,PRÓ-LIPO,326.0
TUCURUVI,MEDICINA ESTÉTICA,PRÓ-MESO,30.0
TUCURUVI,MEDICINA ESTÉTICA,RADIESSE,13.0
TUCURUVI,MEDICINA ESTÉTICA,SCULPTRA,211.0
TUCURUVI,MEDICINA ESTÉTICA,SECAGEM,59.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER BRAÇO,4.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER FULLFACE,103.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,21.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER GLUTEO,3.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,9.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER OLHOS,45.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER PAPADA,81.0
TUCURUVI,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,25.0
VILA MASCOTE,ESTÉTICA,CARBOXITERAPIA,27.0
VILA MASCOTE,ESTÉTICA,CRIOLIPÓLISE,4.0
VILA MASCOTE,ESTÉTICA,DRENAGEM,115.0
VILA MASCOTE,ESTÉTICA,HECCUS,92.0
VILA MASCOTE,ESTÉTICA,LIMPEZA DE PELE,161.0
VILA MASCOTE,LAVIEEN,LAVIEEN,53.0
VILA MASCOTE,LAVIEEN,PRÓ-SÉRUM,22.0
VILA MASCOTE,MEDICINA ESTÉTICA,BOTOX LIGHT,5.0
VILA MASCOTE,MEDICINA ESTÉTICA,BOTOX POWER,34.0
VILA MASCOTE,MEDICINA ESTÉTICA,DERMAROLLER,1.0
VILA MASCOTE,MEDICINA ESTÉTICA,GLÚTEO MAX,1.0
VILA MASCOTE,MEDICINA ESTÉTICA,PEELING QUÍMICO,18.0
VILA MASCOTE,MEDICINA ESTÉTICA,PREENCHIMENTO,16.0
VILA MASCOTE,MEDICINA ESTÉTICA,PRÓ-LIPO,4.0
VILA MASCOTE,MEDICINA ESTÉTICA,PRÓ-MESO,5.0
VILA MASCOTE,MEDICINA ESTÉTICA,RADIESSE,7.0
VILA MASCOTE,MEDICINA ESTÉTICA,SCULPTRA,12.0
VILA MASCOTE,MEDICINA ESTÉTICA,SECAGEM,7.0
VILA MASCOTE,ULTRAFORMER_III,ULTRAFORMER FULLFACE,25.0
VILA MASCOTE,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,3.0
VILA MASCOTE,ULTRAFORMER_III,ULTRAFORMER PAPADA,11.0
VILA MASCOTE,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,3.0
