Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Quantidade,Duração (min),Custo Direto,Quantidade (cortesia),Custo Direto (corteisa)
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,15,450,470.1,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,22,660,6551.6,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,PRÓ-BELLA,1,30,67.1,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,43,645,1784.9299999999998,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,1,30,45.82,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,7,210,5398.259999999999,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,RETOQUE,23,345,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,14,420,14478.52,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,9,270,202.5,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,5,150,812.3000000000001,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,BOTOX POWER,38,1140,11697.16,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,DERMAROLLER,6,180,692.88,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,13,390,407.42,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,30,900,8934.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,22,330,913.2199999999999,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,PRÓ-MESO,4,120,183.28,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,RADIESSE,14,420,10796.519999999999,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,RETOQUE,33,495,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,SCULPTRA,19,570,19649.420000000002,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Julho,SECAGEM,5,150,112.5,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,BOTOX LIGHT,3,90,487.38,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,BOTOX POWER,55,1650,16930.1,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,DERMAROLLER,4,120,461.92,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,PEELING QUÍMICO,16,480,501.44,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,PREENCHIMENTO,31,930,9231.800000000001,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,PRÓ-LIPO,12,180,498.12,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,PRÓ-MESO,3,90,137.46,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,RADIESSE,11,330,8482.98,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,RETOQUE,26,390,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,SCULPTRA,10,300,10341.800000000001,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Junho,SECAGEM,8,240,180.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,BOTOX LIGHT,2,60,324.92,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,BOTOX POWER,41,1230,12620.619999999999,1.0,307.82
IPIRANGA,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,10,300,313.4,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,33,990,9827.4,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,16,240,664.16,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,PRÓ-MESO,3,90,137.46,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,RADIESSE,11,330,8482.98,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,RETOQUE,20,300,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,SCULPTRA,25,750,25854.5,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Maio,SECAGEM,8,240,180.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,BOTOX LIGHT,3,90,487.38,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,BOTOX POWER,30,900,9234.6,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,DERMAROLLER,2,60,230.96,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,PEELING QUÍMICO,8,240,250.72,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,PREENCHIMENTO,18,540,5360.400000000001,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,PRÓ-BELLA,1,30,67.1,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,PRÓ-LIPO,37,555,1535.87,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,PRÓ-MESO,5,150,229.1,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,RADIESSE,3,90,2313.54,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,RETOQUE,14,210,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,SCULPTRA,9,270,9307.62,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Março,SECAGEM,16,480,360.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,BOTOX POWER,13,390,4001.66,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,GLÚTEO MAX,6,90,590.16,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,PEELING QUÍMICO,6,180,188.04,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,PREENCHIMENTO,13,390,3871.4,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,PRÓ-LIPO,10,150,415.09999999999997,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,PRÓ-MESO,3,90,137.46,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,RADIESSE,2,60,1542.36,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,RETOQUE,4,60,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,SCULPTRA,4,120,4136.72,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Novembro,SECAGEM,6,180,135.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,BOTOX LIGHT,6,180,974.76,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,BOTOX POWER,41,1230,12620.619999999999,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,DERMAROLLER,3,90,346.44,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,GLÚTEO MAX,8,120,786.88,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,PEELING QUÍMICO,8,240,250.72,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,PREENCHIMENTO,21,630,6253.8,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,PRÓ-BELLA,2,60,134.2,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,PRÓ-LIPO,25,375,1037.75,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,PRÓ-MESO,2,60,91.64,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,RADIESSE,12,360,9254.16,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,RETOQUE,17,255,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,SCULPTRA,12,360,12410.16,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Outubro,SECAGEM,6,180,135.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,BOTOX LIGHT,7,210,1137.22,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,BOTOX POWER,29,870,8926.78,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,DERMAROLLER,2,60,230.96,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,PEELING QUÍMICO,6,180,188.04,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,PREENCHIMENTO,24,720,7147.200000000001,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,PRÓ-BELLA,5,150,335.5,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,PRÓ-LIPO,24,360,996.24,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,PRÓ-MESO,1,30,45.82,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,RADIESSE,5,150,3855.8999999999996,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,RETOQUE,20,300,0.0,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,SCULPTRA,12,360,12410.16,0.0,0.0
IPIRANGA,MEDICINA ESTÉTICA,Setembro,SECAGEM,9,270,202.5,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE,10,600,7356.2,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE + PESCOÇO,3,270,3057.2400000000002,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Abril,ULTRAFORMER PAPADA,6,180,1518.72,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Abril,ULTRAFORMER PESCOÇO,4,160,1852.48,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Agosto,ULTRAFORMER BRAÇO,1,45,1018.12,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE,17,1020,12505.54,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE + PESCOÇO,1,90,1019.08,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Agosto,ULTRAFORMER MAÇA DO ROSTO,1,45,420.62,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Agosto,ULTRAFORMER OLHOS,5,150,1215.6,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Agosto,ULTRAFORMER PAPADA,8,240,2024.96,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Agosto,ULTRAFORMER PESCOÇO,1,40,463.12,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE,11,660,8091.82,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE + PESCOÇO,2,180,2038.16,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Fevereiro,ULTRAFORMER OLHOS,1,30,243.12,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PAPADA,5,150,1265.6,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PESCOÇO,2,80,926.24,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Julho,ULTRAFORMER FULLFACE,12,720,8827.44,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Julho,ULTRAFORMER OLHOS,7,210,1701.8400000000001,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Julho,ULTRAFORMER PAPADA,14,420,3543.6800000000003,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Julho,ULTRAFORMER PESCOÇO,4,160,1852.48,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Junho,ULTRAFORMER BRAÇO,1,45,1018.12,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Junho,ULTRAFORMER FULLFACE,15,900,11034.3,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Junho,ULTRAFORMER OLHOS,5,150,1215.6,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Junho,ULTRAFORMER PAPADA,18,540,4556.16,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Junho,ULTRAFORMER PESCOÇO,5,200,2315.6,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,22,1320,16183.64,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Maio,ULTRAFORMER OLHOS,4,120,972.48,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,10,300,2531.2,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Maio,ULTRAFORMER PESCOÇO,4,160,1852.48,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE,10,600,7356.2,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE + PESCOÇO,1,90,1019.08,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Março,ULTRAFORMER OLHOS,3,90,729.36,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Março,ULTRAFORMER PAPADA,6,180,1518.72,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Março,ULTRAFORMER PESCOÇO,2,80,926.24,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE,11,660,8091.82,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Novembro,ULTRAFORMER MAÇA DO ROSTO,1,45,420.62,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Novembro,ULTRAFORMER OLHOS,1,30,243.12,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Novembro,ULTRAFORMER PAPADA,6,180,1518.72,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Novembro,ULTRAFORMER PESCOÇO,1,40,463.12,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Outubro,ULTRAFORMER FULLFACE,14,840,10298.68,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Outubro,ULTRAFORMER OLHOS,4,120,972.48,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Outubro,ULTRAFORMER PAPADA,10,300,2531.2,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Outubro,ULTRAFORMER PESCOÇO,5,200,2315.6,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE,17,1020,12505.54,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE + PESCOÇO,1,90,1019.08,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Setembro,ULTRAFORMER GLUTEO,1,45,913.12,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Setembro,ULTRAFORMER MAÇA DO ROSTO,1,45,420.62,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Setembro,ULTRAFORMER OLHOS,3,90,729.36,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Setembro,ULTRAFORMER PAPADA,13,390,3290.56,0.0,0.0
IPIRANGA,ULTRAFORMER_III,Setembro,ULTRAFORMER PESCOÇO,1,40,463.12,0.0,0.0
ITAIM,ESTÉTICA,Abril,CARBOXITERAPIA,2,60,48.24,0.0,0.0
ITAIM,ESTÉTICA,Abril,DRENAGEM,58,3480,1676.78,0.0,0.0
ITAIM,ESTÉTICA,Abril,HECCUS,7,210,151.20000000000002,0.0,0.0
ITAIM,ESTÉTICA,Abril,HIDRATAÇÃO,3,90,69.48,3.0,69.48
ITAIM,ESTÉTICA,Abril,LIMPEZA DE PELE,59,3540,2344.6600000000003,4.0,158.96
ITAIM,ESTÉTICA,Abril,PEELING DE DIAMANTE,13,390,425.23,13.0,425.23
ITAIM,ESTÉTICA,Abril,PRÓ- SHAPE,5,300,198.5,0.0,0.0
ITAIM,ESTÉTICA,Abril,RADIOFREQUÊNCIA,5,150,143.25,1.0,28.65
ITAIM,ESTÉTICA,Agosto,CARBOXITERAPIA,15,450,361.8,0.0,0.0
ITAIM,ESTÉTICA,Agosto,DRENAGEM,38,2280,1098.58,0.0,0.0
ITAIM,ESTÉTICA,Agosto,HECCUS,7,210,151.20000000000002,0.0,0.0
ITAIM,ESTÉTICA,Agosto,HIDRATAÇÃO,2,60,46.32,2.0,46.32
ITAIM,ESTÉTICA,Agosto,LIMPEZA DE PELE,43,2580,1708.8200000000002,5.0,198.70000000000002
ITAIM,ESTÉTICA,Agosto,PEELING DE DIAMANTE,11,330,359.81,11.0,359.81
ITAIM,ESTÉTICA,Agosto,PRÓ- SHAPE,3,180,119.10000000000001,0.0,0.0
ITAIM,ESTÉTICA,Agosto,RADIOFREQUÊNCIA,6,180,171.89999999999998,0.0,0.0
ITAIM,ESTÉTICA,Fevereiro,CARBOXITERAPIA,1,30,24.12,0.0,0.0
ITAIM,ESTÉTICA,Fevereiro,DRENAGEM,68,4080,1965.88,0.0,0.0
ITAIM,ESTÉTICA,Fevereiro,HECCUS,2,60,43.2,0.0,0.0
ITAIM,ESTÉTICA,Fevereiro,HIDRATAÇÃO,8,240,185.28,8.0,185.28
ITAIM,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,69,4140,2742.06,3.0,119.22
ITAIM,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,8,240,261.68,8.0,261.68
ITAIM,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,1,30,28.65,0.0,0.0
ITAIM,ESTÉTICA,Julho,CARBOXITERAPIA,8,240,192.96,3.0,72.36
ITAIM,ESTÉTICA,Julho,DRENAGEM,38,2280,1098.58,0.0,0.0
ITAIM,ESTÉTICA,Julho,HECCUS,6,180,129.60000000000002,0.0,0.0
ITAIM,ESTÉTICA,Julho,HIDRATAÇÃO,2,60,46.32,2.0,46.32
ITAIM,ESTÉTICA,Julho,LIMPEZA DE PELE,54,3240,2145.96,3.0,119.22
ITAIM,ESTÉTICA,Julho,PEELING DE DIAMANTE,7,210,228.97,7.0,228.97
ITAIM,ESTÉTICA,Julho,PRÓ- SHAPE,1,60,39.7,0.0,0.0
ITAIM,ESTÉTICA,Julho,RADIOFREQUÊNCIA,11,330,315.15,0.0,0.0
ITAIM,ESTÉTICA,Junho,CARBOXITERAPIA,7,210,168.84,2.0,48.24
ITAIM,ESTÉTICA,Junho,DRENAGEM,33,1980,954.03,0.0,0.0
ITAIM,ESTÉTICA,Junho,HECCUS,8,240,172.8,1.0,21.6
ITAIM,ESTÉTICA,Junho,HIDRATAÇÃO,4,120,92.64,4.0,92.64
ITAIM,ESTÉTICA,Junho,LIMPEZA DE PELE,49,2940,1947.26,8.0,317.92
ITAIM,ESTÉTICA,Junho,PEELING DE DIAMANTE,3,90,98.13,3.0,98.13
ITAIM,ESTÉTICA,Junho,RADIOFREQUÊNCIA,6,180,171.89999999999998,1.0,28.65
ITAIM,ESTÉTICA,Maio,CARBOXITERAPIA,3,90,72.36,0.0,0.0
ITAIM,ESTÉTICA,Maio,DRENAGEM,45,2700,1300.95,0.0,0.0
ITAIM,ESTÉTICA,Maio,HECCUS,13,390,280.8,0.0,0.0
ITAIM,ESTÉTICA,Maio,HIDRATAÇÃO,4,120,92.64,4.0,92.64
ITAIM,ESTÉTICA,Maio,LIMPEZA DE PELE,47,2820,1867.7800000000002,3.0,119.22
ITAIM,ESTÉTICA,Maio,PEELING DE DIAMANTE,9,270,294.39,8.0,261.68
ITAIM,ESTÉTICA,Maio,PRÓ- SHAPE,4,240,158.8,0.0,0.0
ITAIM,ESTÉTICA,Maio,RADIOFREQUÊNCIA,5,150,143.25,2.0,57.3
ITAIM,ESTÉTICA,Março,CRIOLIPÓLISE,3,180,309.51,0.0,0.0
ITAIM,ESTÉTICA,Março,DRENAGEM,62,3720,1792.42,0.0,0.0
ITAIM,ESTÉTICA,Março,HECCUS,2,60,43.2,0.0,0.0
ITAIM,ESTÉTICA,Março,HIDRATAÇÃO,4,120,92.64,4.0,92.64
ITAIM,ESTÉTICA,Março,LIMPEZA DE PELE,65,3900,2583.1,9.0,357.66
ITAIM,ESTÉTICA,Março,PEELING DE DIAMANTE,11,330,359.81,11.0,359.81
ITAIM,ESTÉTICA,Março,PRÓ- SHAPE,1,60,39.7,0.0,0.0
ITAIM,ESTÉTICA,Março,RADIOFREQUÊNCIA,2,60,57.3,0.0,0.0
ITAIM,ESTÉTICA,Novembro,CARBOXITERAPIA,6,180,144.72,0.0,0.0
ITAIM,ESTÉTICA,Novembro,DRENAGEM,22,1320,636.02,0.0,0.0
ITAIM,ESTÉTICA,Novembro,HECCUS,7,210,151.20000000000002,0.0,0.0
ITAIM,ESTÉTICA,Novembro,HIDRATAÇÃO,3,90,69.48,3.0,69.48
ITAIM,ESTÉTICA,Novembro,LIMPEZA DE PELE,33,1980,1311.42,8.0,317.92
ITAIM,ESTÉTICA,Novembro,PEELING DE DIAMANTE,3,90,98.13,3.0,98.13
ITAIM,ESTÉTICA,Novembro,PRÓ- SHAPE,3,180,119.10000000000001,0.0,0.0
ITAIM,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,3,90,85.94999999999999,0.0,0.0
ITAIM,ESTÉTICA,Outubro,CARBOXITERAPIA,20,600,482.40000000000003,0.0,0.0
ITAIM,ESTÉTICA,Outubro,CRIOLIPÓLISE,3,180,309.51,0.0,0.0
ITAIM,ESTÉTICA,Outubro,DRENAGEM,57,3420,1647.8700000000001,0.0,0.0
ITAIM,ESTÉTICA,Outubro,HECCUS,16,480,345.6,1.0,21.6
ITAIM,ESTÉTICA,Outubro,HIDRATAÇÃO,1,30,23.16,1.0,23.16
ITAIM,ESTÉTICA,Outubro,LIMPEZA DE PELE,49,2940,1947.26,4.0,158.96
ITAIM,ESTÉTICA,Outubro,PEELING DE DIAMANTE,19,570,621.49,17.0,556.07
ITAIM,ESTÉTICA,Outubro,PRÓ- SHAPE,11,660,436.70000000000005,0.0,0.0
ITAIM,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,17,510,487.04999999999995,3.0,85.94999999999999
ITAIM,ESTÉTICA,Setembro,CARBOXITERAPIA,8,240,192.96,0.0,0.0
ITAIM,ESTÉTICA,Setembro,DRENAGEM,52,3120,1503.32,0.0,0.0
ITAIM,ESTÉTICA,Setembro,HECCUS,14,420,302.40000000000003,0.0,0.0
ITAIM,ESTÉTICA,Setembro,HIDRATAÇÃO,5,150,115.8,5.0,115.8
ITAIM,ESTÉTICA,Setembro,LIMPEZA DE PELE,46,2760,1828.0400000000002,9.0,357.66
ITAIM,ESTÉTICA,Setembro,PEELING DE DIAMANTE,6,180,196.26,6.0,196.26
ITAIM,ESTÉTICA,Setembro,PRÓ- SHAPE,6,360,238.20000000000002,1.0,39.7
ITAIM,ESTÉTICA,Setembro,RADIOFREQUÊNCIA,13,390,372.45,1.0,28.65
ITAIM,LAVIEEN,Abril,LAVIEEN,54,810,5224.5,42.0,4063.5
ITAIM,LAVIEEN,Abril,PRÓ-SÉRUM,9,45,605.16,0.0,0.0
ITAIM,LAVIEEN,Agosto,LAVIEEN,35,525,3386.25,23.0,2225.25
ITAIM,LAVIEEN,Agosto,PRÓ-SÉRUM,7,35,470.67999999999995,0.0,0.0
ITAIM,LAVIEEN,Fevereiro,LAVIEEN,28,420,2709.0,22.0,2128.5
ITAIM,LAVIEEN,Julho,LAVIEEN,52,780,5031.0,35.0,3386.25
ITAIM,LAVIEEN,Junho,LAVIEEN,42,630,4063.5,34.0,3289.5
ITAIM,LAVIEEN,Junho,PRÓ-SÉRUM,12,60,806.8799999999999,0.0,0.0
ITAIM,LAVIEEN,Maio,LAVIEEN,57,855,5514.75,39.0,3773.25
ITAIM,LAVIEEN,Maio,PRÓ-SÉRUM,9,45,605.16,0.0,0.0
ITAIM,LAVIEEN,Março,LAVIEEN,22,330,2128.5,15.0,1451.25
ITAIM,LAVIEEN,Novembro,LAVIEEN,37,555,3579.75,36.0,3483.0
ITAIM,LAVIEEN,Outubro,LAVIEEN,32,480,3096.0,24.0,2322.0
ITAIM,LAVIEEN,Setembro,LAVIEEN,62,930,5998.5,53.0,5127.75
ITAIM,MEDICINA ESTÉTICA,Abril,BOTOX POWER,7,210,2154.74,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,4,120,125.36,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Abril,PREENCHIMENTO,4,120,1191.2,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Abril,PRÓ-LIPO,8,120,332.08,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,2,60,324.92,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,24,720,7387.68,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,PEELING QUÍMICO,4,120,125.36,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,11,330,3275.8,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,4,60,166.04,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,PRÓ-MESO,2,60,91.64,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,RETOQUE,14,210,0.0,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Agosto,SCULPTRA,15,450,15512.7,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,6,180,1846.92,1.0,307.82
ITAIM,MEDICINA ESTÉTICA,Fevereiro,DERMAROLLER,2,60,230.96,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,4,120,125.36,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,6,180,1786.8000000000002,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,12,180,498.12,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,2,60,91.64,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Fevereiro,RETOQUE,1,15,0.0,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,1,30,1034.18,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,2,60,324.92,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,BOTOX POWER,20,600,6156.4,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,DERMAROLLER,1,30,115.48,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,5,150,156.7,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,11,330,3275.8,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,PRÓ-BELLA,2,60,134.2,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,15,225,622.65,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,PRÓ-MESO,4,120,183.28,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,RADIESSE,2,60,1542.36,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,RETOQUE,11,165,0.0,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Julho,SCULPTRA,3,90,3102.54,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Junho,BOTOX POWER,9,270,2770.38,0.0,0.0
ITAIM,MEDICINA ESTÉTICA,Junho,DERMAROLLER,1,30,115.48,0.0,0.0
